event_date,ota,hotel_name,location,room_type,prices
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,44平米以上確約（禁煙お部屋おまかせ6名様）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,【バルコニー付き】カジュアル５（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンスクエア　スクエアコーナーフォース（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　カジュアル4（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,44平米以上確約（禁煙お部屋おまかせ5名様）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　リラックステラスルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,【エミオンタワー】和洋室（Bタイプ）バルコニー付き,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　スタンダードルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,44平米以上確約（禁煙お部屋おまかせ4名様）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　和室（全室禁煙/6畳）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　コーナーテラスルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　デラックスルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　ユニバーサルルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンタワー　エミオンルーム ツイン（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,エミオンスクエア　ヒカリテラスルーム（全室禁煙）,3200
2024-08-25,rakuten,ホテルエミオン東京ベイ,舞浜・浦安・船橋・幕張,44平米以上確約（禁煙お部屋おまかせ3名様）,3200
